Product ID,Category,Sub-Category,Product Name,Product ID No.
TEC-AC-10003590,Technology,Accessories,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",10003590
OFF-PA-10004947,Office Supplies,Paper,Easy-staple paper,10004947
FUR-TA-10004607,Furniture,Tables,Hon 2111 Invitation Series Straight Table,10004607
TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,10001817
FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",10000330
OFF-BI-10001900,Office Supplies,Binders,"DXL Angle-View Binders with Locking Rings, Black",10001900
FUR-BO-10003159,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",10003159
FUR-FU-10001591,Furniture,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,10001591
OFF-BI-10001628,Office Supplies,Binders,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",10001628
OFF-ST-10000877,Office Supplies,Storage,Recycled Steel Personal File for Standard File Folders,10000877
OFF-AR-10004752,Office Supplies,Art,Blackstonian Pencils,10004752
OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,10000675
OFF-PA-10001609,Office Supplies,Paper,Tops Wirebound Message Log Books,10001609
TEC-AC-10004568,Technology,Accessories,Maxell LTO Ultrium - 800 GB,10004568
FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,10001854
OFF-AR-10000475,Office Supplies,Art,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",10000475
TEC-PH-10000455,Technology,Phones,GE 30522EE2,10000455
OFF-PA-10001994,Office Supplies,Paper,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",10001994
TEC-AC-10002926,Technology,Accessories,Logitech Wireless Marathon Mouse M705,10002926
TEC-PH-10004897,Technology,Phones,Mediabridge Sport Armband iPhone 5s,10004897
FUR-FU-10001196,Furniture,Furnishings,DAX Cubicle Frames - 8x10,10001196
OFF-PA-10000595,Office Supplies,Paper,Xerox 1929,10000595
OFF-LA-10000443,Office Supplies,Labels,Avery 501,10000443
OFF-AP-10001394,Office Supplies,Appliances,Harmony Air Purifier,10001394
FUR-FU-10002553,Furniture,Furnishings,"Electrix Incandescent Magnifying Lamp, Black",10002553
OFF-AP-10004233,Office Supplies,Appliances,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,10004233
FUR-CH-10004754,Furniture,Chairs,"Global Stack Chair with Arms, Black",10004754
FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",10002878
TEC-PH-10002624,Technology,Phones,Samsung Galaxy S4 Mini,10002624
TEC-PH-10002885,Technology,Phones,Apple iPhone 5,10002885
TEC-PH-10000895,Technology,Phones,Polycom VVX 310 VoIP phone,10000895
TEC-MA-10000488,Technology,Machines,Bady BDG101FRU Card Printer,10000488
OFF-PA-10003729,Office Supplies,Paper,Xerox 1998,10003729
OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,10001005
FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,10000988
FUR-FU-10001986,Furniture,Furnishings,"Dana Fluorescent Magnifying Lamp, White, 36""",10001986
OFF-ST-10000464,Office Supplies,Storage,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",10000464
OFF-PA-10000528,Office Supplies,Paper,Xerox 1981,10000528
OFF-AR-10003631,Office Supplies,Art,Staples in misc. colors,10003631
TEC-PH-10004959,Technology,Phones,Classic Ivory Antique Telephone ZL1810,10004959
FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",10001918
FUR-FU-10001617,Furniture,Furnishings,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",10001617
TEC-PH-10002824,Technology,Phones,Jabra SPEAK 410 Multidevice Speakerphone,10002824
OFF-ST-10002554,Office Supplies,Storage,Tennsco Industrial Shelving,10002554
OFF-AR-10002067,Office Supplies,Art,Newell 334,10002067
FUR-TA-10004175,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",10004175
OFF-EN-10002621,Office Supplies,Envelopes,Staple envelope,10002621
OFF-LA-10003714,Office Supplies,Labels,Avery 510,10003714
OFF-AR-10003723,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers,10003723
OFF-PA-10000241,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",10000241
OFF-AR-10001446,Office Supplies,Art,Newell 309,10001446
OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,10001359
OFF-EN-10001749,Office Supplies,Envelopes,Jiffy Padded Mailers with Self-Seal Closure,10001749
OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,10004390
TEC-PH-10004924,Technology,Phones,"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",10004924
FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,10000155
OFF-BI-10001757,Office Supplies,Binders,Pressboard Hanging Data Binders for Unburst Sheets,10001757
FUR-FU-10004093,Furniture,Furnishings,Hand-Finished Solid Wood Document Frame,10004093
FUR-FU-10001037,Furniture,Furnishings,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",10001037
OFF-PA-10001878,Office Supplies,Paper,Xerox 1891,10001878
TEC-MA-10003674,Technology,Machines,Hewlett-Packard Deskjet 5550 Printer,10003674
TEC-PH-10001809,Technology,Phones,Panasonic KX T7736-B Digital phone,10001809
OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,10003091
FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,10003981
OFF-ST-10002562,Office Supplies,Storage,Staple magnet,10002562
TEC-PH-10004345,Technology,Phones,Cisco SPA 502G IP Phone,10004345
OFF-PA-10003039,Office Supplies,Paper,Xerox 1960,10003039
TEC-PH-10001198,Technology,Phones,Avaya 4621SW VoIP phone,10001198
TEC-PH-10002483,Technology,Phones,Motorola Moto X,10002483
FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,10000468
OFF-PA-10003129,Office Supplies,Paper,Tops White Computer Printout Paper,10003129
TEC-AC-10001284,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,10001284
FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,10002268
OFF-BI-10002082,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,10002082
OFF-AR-10004582,Office Supplies,Art,BIC Brite Liner Grip Highlighters,10004582
TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,10002842
OFF-BI-10003669,Office Supplies,Binders,3M Organizer Strips,10003669
OFF-AP-10004785,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",10004785
TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,10002217
OFF-BI-10002954,Office Supplies,Binders,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,10002954
OFF-PA-10002586,Office Supplies,Paper,Xerox 1970,10002586
OFF-AP-10003281,Office Supplies,Appliances,Acco 6 Outlet Guardian Standard Surge Suppressor,10003281
OFF-SU-10000898,Office Supplies,Supplies,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",10000898
OFF-BI-10001249,Office Supplies,Binders,Avery Heavy-Duty EZD View Binder with Locking Rings,10001249
TEC-AC-10002718,Technology,Accessories,Belkin Standard 104 key USB Keyboard,10002718
TEC-PH-10002352,Technology,Phones,Avaya IP Phone 1140E VoIP phone,10002352
FUR-CH-10003774,Furniture,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",10003774
TEC-PH-10003811,Technology,Phones,Jabra Supreme Plus Driver Edition Headset,10003811
OFF-BI-10002393,Office Supplies,Binders,Binder Posts,10002393
FUR-TA-10002855,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,10002855
OFF-EN-10000781,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",10000781
OFF-PA-10002160,Office Supplies,Paper,Xerox 1978,10002160
OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,10004395
OFF-AP-10002534,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,10002534
TEC-PH-10001615,Technology,Phones,AT&T CL82213,10001615
FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",10003034
OFF-AR-10001315,Office Supplies,Art,Newell 310,10001315
OFF-ST-10000943,Office Supplies,Storage,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,10000943
OFF-PA-10000533,Office Supplies,Paper,Southworth Parchment Paper & Envelopes,10000533
OFF-SU-10001165,Office Supplies,Supplies,Acme Elite Stainless Steel Scissors,10001165
OFF-ST-10001172,Office Supplies,Storage,"Tennsco Lockers, Sand",10001172
FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,10004973
OFF-BI-10004817,Office Supplies,Binders,GBC Personal VeloBind Strips,10004817
FUR-CH-10003833,Furniture,Chairs,Novimex Fabric Task Chair,10003833
OFF-ST-10003996,Office Supplies,Storage,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",10003996
OFF-BI-10002571,Office Supplies,Binders,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",10002571
OFF-PA-10000477,Office Supplies,Paper,Xerox 1952,10000477
OFF-BI-10004209,Office Supplies,Binders,"Fellowes Twister Kit, Gray/Clear, 3/pkg",10004209
TEC-AC-10002800,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,10002800
FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,10003954
TEC-PH-10002468,Technology,Phones,"Plantronics CS 50-USB - headset - Convertible, Monaural",10002468
OFF-PA-10001295,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,10001295
OFF-LA-10000248,Office Supplies,Labels,Avery 52,10000248
OFF-LA-10004008,Office Supplies,Labels,Avery 507,10004008
OFF-BI-10001718,Office Supplies,Binders,GBC DocuBind P50 Personal Binding Machine,10001718
OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,10000078
TEC-PH-10001578,Technology,Phones,Polycom SoundStation2 EX Conference phone,10001578
OFF-ST-10003638,Office Supplies,Storage,Mobile Personal File Cube,10003638
FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,10002213
OFF-EN-10003040,Office Supplies,Envelopes,Quality Park Security Envelopes,10003040
FUR-FU-10003623,Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",10003623
OFF-AP-10000124,Office Supplies,Appliances,Acco 6 Outlet Guardian Basic Surge Suppressor,10000124
OFF-AR-10004511,Office Supplies,Art,"Sanford Colorific Scented Colored Pencils, 12/Pack",10004511
OFF-PA-10003883,Office Supplies,Paper,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",10003883
TEC-PH-10002807,Technology,Phones,Motorla HX550 Universal Bluetooth Headset,10002807
FUR-FU-10002364,Furniture,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",10002364
OFF-SU-10001664,Office Supplies,Supplies,Acme Office Executive Series Stainless Steel Trimmers,10001664
FUR-TA-10003238,Furniture,Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",10003238
TEC-PH-10001536,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,10001536
OFF-PA-10000551,Office Supplies,Paper,Array Memo Cubes,10000551
OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock,10004506
OFF-PA-10000740,Office Supplies,Paper,Xerox 1982,10000740
OFF-PA-10003001,Office Supplies,Paper,Xerox 1986,10003001
FUR-CH-10002084,Furniture,Chairs,Hon Mobius Operator's Chair,10002084
OFF-EN-10003134,Office Supplies,Envelopes,Staple envelope,10003134
OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,10000692
OFF-AP-10000252,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,10000252
FUR-FU-10004748,Furniture,Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock",10004748
OFF-AR-10000538,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpener, Gray",10000538
TEC-PH-10001079,Technology,Phones,Polycom SoundPoint Pro SE-225 Corded phone,10001079
OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,10003842
FUR-CH-10000553,Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",10000553
OFF-AR-10003469,Office Supplies,Art,Nontoxic Chalk,10003469
FUR-BO-10002202,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",10002202
OFF-AP-10002765,Office Supplies,Appliances,Fellowes Advanced Computer Series Surge Protectors,10002765
OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,10003692
TEC-PH-10001051,Technology,Phones,HTC One,10001051
OFF-AR-10000817,Office Supplies,Art,Manco Dry-Lighter Erasable Highlighter,10000817
OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,10002982
OFF-AP-10001391,Office Supplies,Appliances,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,10001391
TEC-PH-10001944,Technology,Phones,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,10001944
OFF-PA-10001776,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",10001776
TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,10004145
OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,10003123
FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,10000308
TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,10003763
FUR-TA-10001866,Furniture,Tables,Bevis Round Conference Room Tables and Bases,10001866
OFF-AP-10002222,Office Supplies,Appliances,Staple holder,10002222
OFF-AP-10004036,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,10004036
OFF-AP-10002287,Office Supplies,Appliances,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",10002287
FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,10001950
TEC-PH-10001527,Technology,Phones,Plantronics MX500i Earset,10001527
TEC-AC-10003095,Technology,Accessories,Logitech G35 7.1-Channel Surround Sound Headset,10003095
TEC-AC-10000358,Technology,Accessories,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,10000358
FUR-FU-10001468,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,10001468
OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",10000380
OFF-AP-10000026,Office Supplies,Appliances,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,10000026
FUR-FU-10002501,Furniture,Furnishings,Nu-Dell Executive Frame,10002501
OFF-AP-10001205,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,10001205
OFF-BI-10004141,Office Supplies,Binders,Insertable Tab Indexes For Data Binders,10004141
OFF-BI-10000632,Office Supplies,Binders,Satellite Sectional Post Binders,10000632
TEC-AC-10004864,Technology,Accessories,Memorex Micro Travel Drive 32 GB,10004864
TEC-MA-10000597,Technology,Machines,Lexmark S315 Color Inkjet Printer,10000597
OFF-PA-10002960,Office Supplies,Paper,Xerox 1926,10002960
OFF-PA-10000919,Office Supplies,Paper,Xerox 1918,10000919
OFF-AP-10004540,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",10004540
FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",10001714
FUR-FU-10002298,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",10002298
OFF-AR-10000315,Office Supplies,Art,"Dixon Ticonderoga Maple Cedar Pencil, #2",10000315
OFF-FA-10000936,Office Supplies,Fasteners,Acco Hot Clips Clips to Go,10000936
OFF-SU-10004768,Office Supplies,Supplies,Acme Kleencut Forged Steel Scissors,10004768
OFF-PA-10002581,Office Supplies,Paper,Xerox 1951,10002581
OFF-AP-10002403,Office Supplies,Appliances,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,10002403
OFF-AR-10003087,Office Supplies,Art,Staples in misc. colors,10003087
TEC-PH-10000141,Technology,Phones,Clearsounds A400,10000141
TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,10000971
OFF-FA-10001229,Office Supplies,Fasteners,Staples,10001229
TEC-AC-10002637,Technology,Accessories,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),10002637
OFF-PA-10004041,Office Supplies,Paper,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",10004041
FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,10000780
TEC-PH-10003072,Technology,Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,10003072
TEC-MA-10000112,Technology,Machines,Panasonic KX MB2061 Multifunction Printer,10000112
FUR-TA-10002645,Furniture,Tables,Hon Rectangular Conference Tables,10002645
OFF-FA-10002975,Office Supplies,Fasteners,Staples,10002975
OFF-BI-10003784,Office Supplies,Binders,Computer Printout Index Tabs,10003784
OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs,10001617
FUR-CH-10002439,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",10002439
OFF-AP-10003057,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,10003057
FUR-TA-10000849,Furniture,Tables,Bevis Rectangular Conference Tables,10000849
OFF-EN-10002973,Office Supplies,Envelopes,Ampad #10 Peel & Seel Holiday Envelopes,10002973
OFF-BI-10003963,Office Supplies,Binders,Cardinal Holdit Data Disk Pockets,10003963
OFF-LA-10000081,Office Supplies,Labels,Avery 496,10000081
OFF-LA-10004093,Office Supplies,Labels,Avery 486,10004093
OFF-PA-10000726,Office Supplies,Paper,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",10000726
FUR-FU-10002107,Furniture,Furnishings,Eldon Pizzaz Desk Accessories,10002107
FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,10001190
TEC-AC-10000682,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,10000682
OFF-LA-10004545,Office Supplies,Labels,Avery 50,10004545
OFF-SU-10002557,Office Supplies,Supplies,Fiskars Spring-Action Scissors,10002557
OFF-ST-10001837,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",10001837
TEC-PH-10001835,Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,10001835
OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",10004483
OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,10000151
OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,10001293
TEC-PH-10000675,Technology,Phones,Panasonic KX TS3282B Corded phone,10000675
OFF-ST-10003470,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",10003470
OFF-AP-10002651,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,10002651
TEC-AC-10002550,Technology,Accessories,Maxell 4.7GB DVD-RW 3/Pack,10002550
OFF-BI-10000829,Office Supplies,Binders,Avery Non-Stick Binders,10000829
TEC-PH-10002555,Technology,Phones,Nortel Meridian M5316 Digital phone,10002555
OFF-AP-10002191,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,10002191
FUR-BO-10003450,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",10003450
FUR-FU-10004665,Furniture,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",10004665
TEC-PH-10000369,Technology,Phones,HTC One Mini,10000369
FUR-FU-10004909,Furniture,Furnishings,Contemporary Wood/Metal Frame,10004909
FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,10004357
OFF-LA-10003190,Office Supplies,Labels,Avery 474,10003190
TEC-AC-10000387,Technology,Accessories,KeyTronic KT800P2 - Keyboard - Black,10000387
OFF-AP-10002734,Office Supplies,Appliances,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,10002734
FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",10004587
TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,10004833
FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,10001847
FUR-FU-10004671,Furniture,Furnishings,"Executive Impressions 12"" Wall Clock",10004671
FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,10003569
TEC-MA-10003356,Technology,Machines,Panasonic KX MC6040 Color Laser Multifunction Printer,10003356
OFF-AR-10003727,Office Supplies,Art,Berol Giant Pencil Sharpener,10003727
TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,10004722
TEC-MA-10002210,Technology,Machines,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,10002210
OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders,10003196
FUR-CH-10002017,Furniture,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,10002017
OFF-PA-10000697,Office Supplies,Paper,"TOPS Voice Message Log Book, Flash Format",10000697
OFF-AR-10004691,Office Supplies,Art,Boston 1730 StandUp Electric Pencil Sharpener,10004691
OFF-BI-10000948,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",10000948
OFF-PA-10000062,Office Supplies,Paper,Green Bar Computer Printout Paper,10000062
FUR-BO-10003404,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",10003404
OFF-BI-10004233,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",10004233
TEC-PH-10002834,Technology,Phones,Google Nexus 5,10002834
FUR-CH-10003761,Furniture,Chairs,Global Italian Leather Office Chair,10003761
OFF-PA-10004665,Office Supplies,Paper,Advantus Motivational Note Cards,10004665
OFF-BI-10001116,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",10001116
OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",10001196
TEC-MA-10002981,Technology,Machines,I.R.I.S IRISCard Anywhere 5 Card Scanner,10002981
TEC-PH-10003601,Technology,Phones,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",10003601
OFF-BI-10002003,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,10002003
OFF-PA-10003016,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",10003016
TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,10002890
TEC-MA-10003626,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,10003626
TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,10002412
OFF-AR-10003183,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,10003183
OFF-PA-10002319,Office Supplies,Paper,Xerox 1944,10002319
FUR-FU-10001876,Furniture,Furnishings,"Computer Room Manger, 14""",10001876
OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,10003251
TEC-PH-10000673,Technology,Phones,Plantronics Voyager Pro HD - Bluetooth Headset,10000673
TEC-PH-10002075,Technology,Phones,AT&T EL51110 DECT,10002075
OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,10000157
TEC-AC-10004227,Technology,Accessories,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,10004227
OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,10001553
FUR-CH-10002758,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",10002758
OFF-ST-10000532,Office Supplies,Storage,Advantus Rolling Drawer Organizers,10000532
TEC-AC-10003709,Technology,Accessories,Maxell 4.7GB DVD-R 5/Pack,10003709
OFF-BI-10003166,Office Supplies,Binders,GBC Plasticlear Binding Covers,10003166
OFF-AP-10000159,Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,10000159
OFF-AP-10001242,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,10001242
OFF-FA-10002763,Office Supplies,Fasteners,Advantus Map Pennant Flags and Round Head Tacks,10002763
